FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.190,2004,4.5 m,POINT (12.542837453480669 55.6647863567095)
trae_basis.191,2004,4.5 m,POINT (12.542913157341552 55.66491675777952)
trae_basis.192,2006,4.5 m,POINT (12.541301133962412 55.66613674621517)
trae_basis.193,1994,4.5 m,POINT (12.541748468240653 55.66520707701471)
trae_basis.194,1997,2.8 m,POINT (12.541975902461472 55.66562237813905)
trae_basis.195,1997,4.5 m,POINT (12.542128473279876 55.665899935353025)
trae_basis.196,1997,4.5 m,POINT (12.542204143659927 55.666036064897426)
trae_basis.197,2004,4.5 m,POINT (12.542680357389829 55.66494950339191)
trae_basis.198,1972,4.5 m,POINT (12.489467594771957 55.71773822991782)
trae_basis.199,,Ikke registreret,POINT (12.567854339545143 55.72361901785237)
trae_basis.200,1972,4.5 m,POINT (12.489493504896359 55.717782783927944)
trae_basis.201,2017,Ikke registreret,POINT (12.519081327428372 55.6400603818483)
trae_basis.1034,,Ikke registreret,POINT (12.48730169568246 55.65855136575723)
trae_basis.202,2004,2.8 m,POINT (12.54274961154631 55.665051943939275)
trae_basis.203,2004,4.5 m,POINT (12.542810124097565 55.66517341012502)
trae_basis.204,2004,2.8 m,POINT (12.542874989669656 55.66528245036041)
trae_basis.205,2004,4.5 m,POINT (12.542946204426404 55.66541607026259)
trae_basis.206,2004,4.5 m,POINT (12.543100112302671 55.66568111294088)
trae_basis.207,2004,4.5 m,POINT (12.543173484360874 55.66581329113583)
trae_basis.208,1989,4.5 m,POINT (12.543262808907636 55.66552476873231)
trae_basis.209,2009,4.5 m,POINT (12.543715862428371 55.66608323899016)
trae_basis.210,1974,4.5 m,POINT (12.543869424347648 55.666023338731584)
trae_basis.211,1974,4.5 m,POINT (12.543785566109353 55.666202840070575)
trae_basis.212,1974,4.5 m,POINT (12.543821997823494 55.66626059521263)
trae_basis.213,1891,4.5 m,POINT (12.543911809051734 55.66655092640033)
trae_basis.214,1977,4.5 m,POINT (12.551182399553863 55.6690748207301)
trae_basis.215,1977,4.5 m,POINT (12.551103692075296 55.66956572249692)
trae_basis.216,1977,4.5 m,POINT (12.551089694828093 55.66963788748937)
trae_basis.217,1990,4.5 m,POINT (12.551149782465925 55.66982513472994)
trae_basis.246,,Ikke registreret,POINT (12.551403218301699 55.688816652172704)
trae_basis.218,2019,Ikke registreret,POINT (12.519106954816651 55.64000896658333)
trae_basis.219,1972,4.5 m,POINT (12.48978916827702 55.71839066032433)
trae_basis.220,1979,4.5 m,POINT (12.552691037700889 55.6710481936813)
trae_basis.221,1991,4.5 m,POINT (12.55240553957786 55.67171888614075)
trae_basis.222,,Ikke registreret,POINT (12.551350741574995 55.68876630024351)
trae_basis.223,,Ikke registreret,POINT (12.551369162884587 55.68881646245873)
